height,Model,Scenarios,Ensemble,Final year,slope,intercept,r_value,p_value,std_err,Time Span
TUS,CanESM5,SSP3-7.0,r24i1p1f1,2027,-0.1535596640555099,537.2457333739824,-0.9888146173709934,0.001417686226316821,0.013372857667753792,5 years
TUS,CanESM5,SSP3-7.0,r22i1p2f1,2042,-0.09415658135100194,416.87854089051757,-0.9804052043064254,3.7674703935281944e-14,0.004459192495472156,20 years
TUS,CanESM5,SSP3-7.0,r22i1p2f1,2037,-0.09308995541268783,414.7126512242219,-0.958266171655795,1.9183752207054708e-08,0.007702380384206289,15 years
TUS,CanESM5,SSP3-7.0,r22i1p2f1,2032,-0.12894717892961116,487.38271380000594,-0.9884362366986167,7.714992867411679e-08,0.00699396773451769,10 years
TUS,CanESM5,SSP3-7.0,r22i1p2f1,2027,-0.1517452248533232,533.5504009598043,-0.9854118809189659,0.0021104748966456785,0.01513078882611096,5 years
TUS,CanESM5,SSP3-7.0,r22i1p1f1,2042,-0.09627975275441111,421.17873126223105,-0.9812223972325924,2.5753276508742886e-14,0.004460853382003162,20 years
TUS,CanESM5,SSP3-7.0,r22i1p1f1,2037,-0.09665938669059466,421.9457488297835,-0.961392937073744,1.1651529575124726e-08,0.007673387266577729,15 years
TUS,CanESM5,SSP3-7.0,r22i1p1f1,2032,-0.1356620381788048,500.98687175803013,-0.9925921551122276,1.3058091363611777e-08,0.005870804977564273,10 years
TUS,CanESM5,SSP3-7.0,r22i1p1f1,2027,-0.16017485572532167,550.6192417633711,-0.9832355029968056,0.0025991091596695875,0.017149780672865902,5 years
TUS,CanESM5,SSP3-7.0,r21i1p2f1,2042,-0.09508496789435063,418.7525597387303,-0.9781428944326276,9.98962345482008e-14,0.004764292999684183,20 years
TUS,CanESM5,SSP3-7.0,r24i1p1f1,2032,-0.13664093250486956,502.9760400495279,-0.9889024883623942,6.547646030778656e-08,0.00725774832343077,10 years
TUS,CanESM5,SSP3-7.0,r21i1p2f1,2037,-0.09536477393220051,419.3160411134305,-0.9571522972044525,2.2704737757821197e-08,0.00800223578854151,15 years
TUS,CanESM5,SSP3-7.0,r2i1p2f1,2037,-0.09497835690322996,418.5411828125018,-0.9483927013580906,7.446800996345888e-08,0.008807620290894696,15 years
TUS,CanESM5,SSP3-7.0,r3i1p1f1,2027,-0.14542754779646147,520.7455978872457,-0.9954960353931163,0.00036260408017257234,0.007995938371437757,5 years
TUS,CanESM5,SSP3-7.0,r7i1p1f1,2037,-0.09499357858561683,418.57769575912965,-0.9495651717062553,6.43183136402148e-08,0.008700254314984725,15 years
TUS,CanESM5,SSP3-7.0,r7i1p1f1,2032,-0.1349652236152181,499.5857836431623,-0.9818751083856567,4.6195787082305645e-07,0.009210781614968182,10 years
TUS,CanESM5,SSP3-7.0,r7i1p1f1,2027,-0.17678765674345415,584.2729900893441,-0.9643191593785223,0.008047265597729558,0.028021674348262415,5 years
TUS,CanESM5,SSP3-7.0,r5i1p2f1,2042,-0.09784318908169905,424.3598493164995,-0.9782528653947716,9.550083485336057e-14,0.004889732953841907,20 years
TUS,CanESM5,SSP3-7.0,r5i1p2f1,2037,-0.09597394008686239,420.5649795340998,-0.955495207171449,2.8939170685232353e-08,0.008218355154178292,15 years
TUS,CanESM5,SSP3-7.0,r5i1p2f1,2032,-0.137922739672355,505.5763562867837,-0.9918073689719747,1.9516215258164287e-08,0.006280567918662433,10 years
TUS,CanESM5,SSP3-7.0,r5i1p2f1,2027,-0.15521238707441684,540.5941375708026,-0.9977012896447318,0.0001322544919765751,0.006086569961141194,5 years
TUS,CanESM5,SSP3-7.0,r5i1p1f1,2042,-0.0974260048963715,423.50996842437553,-0.9828442272167088,1.1489961626782254e-14,0.004309266882533139,20 years
TUS,CanESM5,SSP3-7.0,r5i1p1f1,2037,-0.09794074106258777,424.5518026373144,-0.9631078408527586,8.708082229160645e-09,0.0075902469612300185,15 years
TUS,CanESM5,SSP3-7.0,r5i1p1f1,2032,-0.13454681085828996,498.73851652682083,-0.9912035378600359,2.5919015155409728e-08,0.006351516311703901,10 years
TUS,CanESM5,SSP3-7.0,r2i1p2f1,2042,-0.09545976135680144,419.5195017997679,-0.9762080012109339,2.1283320525284965e-13,0.004997738402844849,20 years
TUS,CanESM5,SSP3-7.0,r5i1p1f1,2027,-0.16591348682543414,562.2528897296287,-0.9921978692840576,0.0008263133600987189,0.012036372501222404,5 years
